sourceID	source	source_desc	change_date	changer	link_note	links
AZ015	New Bedford Whaling Museum. Scrapbook 17	'Fall River in the Whale Fishery.' 'Falmouth in the Whale Fishery.' 'Providence in the Whale Fishery of the Past.' 'Somerset in the Whale Fishery.' 'Record of Newport Whaling Ships.' 'Bristol in the Whale Fishery.' New Bedford Whaling Museum Research Library, New Bedford, MA, Scrapbook 17. Undated clippings from unidentified newspapers.	2021-08-31			
AZ016	Malloy. Whaling Brides and Whaling Brothers	Malloy, Mary. Whaling Brides and Whaling Brothers: The Lawrences of Falmouth. Falmouth, MA: Falmouth Historical Society, 1997.	2019-01-05			
AZ017	Amaral. They Ploughed the Seas	Amaral, Pat. They Ploughed the Seas: Profiles of Azorean Master Mariners. St. Petersburg, FL: Valkyrie Press, Inc., 1978.	2019-01-05			
AZ018	Ship Registers and Enrollments of Newport, Rhode Island	Work Projects Administration. Ship Registers and Enrollments of Newport, Rhode Island 1790-1939. Providence, RI: National Archives Project, 1938-1941.	2019-01-05		v. 1; v. 2	https://hdl.handle.net/2027/mdp.39015073752266; https://hdl.handle.net/2027/mdp.39015073752118
AZ019	Ship Licenses on enrollments issued out of the Port of Providence, RI	Ship Registers and Enrollments, Ship Licenses issued to vessels under 20 tons, Ship Licenses on enrollments issued out of the Port of Providence, RI 1773-1939. Providence, RI: National Archives Project, 1941.	2019-01-05		v.1, pt.1; v.1, pt.2; v.2	https://hdl.handle.net/2027/mdp.39015051003625; https://hdl.handle.net/2027/mdp.39015039775757; https://hdl.handle.net/2027/mdp.39015051003617
AZ020	Ship Licenses on enrollments issued out of the Port of Bristol-Warren, RI	Works Progress Administration. Ship Registers and Enrollments, Ship Licenses issued to vessels under 20 tons, Ship Licenses on enrollments issued out of the Port of Bristol-Warren, RI 1773-1939. Providence, RI: National Archives Project, 1941.	2019-01-05			https://babel.hathitrust.org/cgi/pt?id=mdp.39015073751987&seq=9
AZ021	Ship Registers of Dighton-Fall River, Massachusetts	Works Progress Administration. Ship Registers of Dighton-Fall River, Massachusetts 1789-1938. Boston: National Archives Project, 1939.	2019-01-05			https://archive.org/details/shipregistersofply00surv
AZ022	Ship Registers of the District of Plymouth, Massachusetts	Works Progress Administration. Ship Registers of the District of Plymouth, Massachusetts 1789-1908. Boston: National Archives Project, 1939.	2019-01-05			https://archive.org/details/shipregistersofply00surv
AZ023	Ship Registers, District of Barnstable, Massachusetts	Works Progress Administration. Alphabetical List of Ship Registers, District of Barnstable, Massachusetts 1814-1913. Boston: National Archives Project, 1938.	2019-01-05			https://archive.org/details/alphabeticallist00nati
AZ024	Scott, Samuel	Scott, Samuel. Curator, The Whaling Museum Society, Inc., Cold Spring Harbor, NY. Personal communication.	2019-01-05			
AZ025	Carmer. The Hudson	Carmer, Carl. The Hudson. New York and Toronto: Farrar & Rinehardt, 1939.	2019-01-05			
AZ026	Eldridge, Mary	Eldridge, Mary. Typed list attached to letter from Edwin Jacob to Mrs. Rattnoy, Feb. 27, 1965.	2019-01-05			
AZ027	Adams. History of the Town of Southampton	Adams, James Truslow. History of the Town of Southampton (East End of Canoe Place). Bridgehampton, NY: Hampton Press, 1918.	2019-01-05			https://archive.org/details/historyoftownofs00jame
AZ028	Robotti. Whaling and Old Salem	Robotti, Frances Diane. Whaling and Old Salem (A Chronicle of the Sea). New York: Bonanza Books, 1962.	2019-01-05			
AZ029	Tompkins. Black Ahab	Tompkins, E. Berkeley. 'Black Ahab.' California Historical Quarterly, 51:2 (1972).	2019-01-05			
AZ030	Worth. Voyages of Ship Bartholomew Gosnold	Worth, Henry B. 'Voyages of Ship 'Bartholomew Gosnold.’' Old Dartmouth Historical Sketches, 44 (1916).	2025-01-16	dtc		https://www.whalingmuseum.org/wp-content/uploads/2021/11/Old-Dartmouth-Historical-Sketches_No.44.pdf
AZ031	Cabral and Theriault. Wooden Ships and Iron Men	Cabral, Reginald W. and James Theriault. Wooden Ships and Iron Men. Provincetown, MA: Trustees of The Heritage Museum, 1994.	2019-01-05			http://www.provincetownhistoryproject.com/PDF/mun_001_852-wooden-ships-and-iron-men.pdf
AZ032	Ship's paper	'Ship's paper in Collection of Society.' Dukes County Intelligencer, 19:1 (August, 1977).	2021-08-31			
AZ033	Chilmark Whaling Masters	'Chilmark Whaling Masters.' Dukes County Intelligencer, 21:2 (November 1979).	2021-08-31			
AZ034	Antone Fortes, Whaleman	'Antone Fortes, Whaleman.' Dukes County Intelligencer, 11:4 (May, 1970).	2021-08-31			
AZ035	A Captain who knew the Pacific	'A Captain who knew the Pacific.' Works Progress Administration.	2021-08-31			
AZ036	Whaling Masters	Whaling Masters: Voyages 1731-1925. New Bedford, MA: Old Dartmouth Historical Society, 1938. Annotated copy located at Gale Huntington Research Library, Martha's Vineyard Historical Society, Edgartown, MA.	2019-01-05			https://hdl.handle.net/2027/uc1.$b25850
AZ037	Martha's Vineyard Historical Society. Archival boxes 59B and 60B	Miscellaneous newspaper clippings, mostly undated and sources unidentified. Archival boxes 59B and 60B. Gale Huntington Research Library, Martha's Vineyard Historical Society, Edgartown, MA.	2019-01-05			
AZ038	Martha's Vineyard Historical Society. Documents	Permanent Registers . . . Register Bonds . . . Register Oaths . . . Permanent Enrollments . . . Enrollment Bonds . . . Enrollment Oaths . . . for Edgartown, MA. Gale Huntington Research Library, Martha’s Vineyard Historical Society, Edgartown, MA. Archival Box 140.2B, Typewritten list.	2019-01-05			
AZ039	Martha's Vineyard Historical Society. Miscellaneous newspaper clippings	Miscellaneous newspaper clippings, mostly undated and sources unidentified. Archival Box 116B. Gale Huntington Research Library, Martha's Vineyard Historical Society, Edgartown, MA.	2019-01-05			
AZ040	Martha's Vineyard Historical Society. Miscellaneous newspaper clippings	Miscellaneous newspaper clippings, mostly undated and sources unidentified. Archival Box 4S. Gale Huntington Research Library, Martha's Vineyard Historical Society, Edgartown, MA.	2019-01-05			
AZ041	Martha's Vineyard Historical Society. Miscellaneous newspaper clippings	Miscellaneous newspaper clippings, mostly undated and sources unidentified. Archival Box 62B. Gale Huntington Research Library, Martha's Vineyard Historical Society, Edgartown, MA.	2019-01-05			
AZ042	Whiting and Hough. Whaling Wives	Whiting, Emma Mayhew and Henry Beetle Hough. Whaling Wives. Boston: Houghton, Mifflin, 1953.	2019-01-05			
AZ043	Ambrose. Logbooks, Journals and Abstracts of Whaling Voyages	Ambrose, Edwin R. 'Logbooks, Journals and Abstracts of Whaling Voyages in the Gale Huntington Research Library of the Martha's Vineyard Historical Society.' April 1998. Typewritten list.	2019-01-05			
AZ044	Zaykowski. Sag Harbor: The Story of an American Beauty	Zaykowski, Dorothy Ingersoll. Sag Harbor: The Story of an American Beauty. Third Edition. Sag Harbor, NY: Sag Harbor Historical Society, 1991.	2019-01-05			
AZ045	West. Captain's Papers: A Log of Whaling and Other Sea Experiences	West, Ellsworth Luce as told to Eleanor Ransom Mayhew. Captain's Papers: A Log of Whaling and Other Sea Experiences. Barre, MA: Barre Publishers, 1965.	2019-01-05			
AZ046	Juneau. Women Journal Keepers	Juneau, Carol. 'Women Journal Keepers.' August 15, 1983. New Bedford Whaling Museum Research Library, New Bedford, MA. Typewritten list.	2019-01-05			
AZ047	Druett. Women who went A-Whaling	Druett, Joan. 'Women who went A-Whaling: an annotated list.' New Bedford Whaling Museum Research Library, New Bedford, MA.	2019-01-05			
AZ048	Stackpole. The Sea-Hunters	Stackpole, Edouard A. The Sea-Hunters: The Great Age of Whaling. Philadelphia and New York: J. B. Lippincott Company, 1953.	2019-01-05			
AZ049	Sotheby Parke Bernet Inc. Auction Catalog	Auction Catalog. New York: Sotheby Parke Bernet Inc., The Barbara Johnson Whaling Collection: Part IV, December 16 and 17, 1983.	2019-01-05			
AZ050	Ship Registers and Enrollments of New Bedford, Massachusetts	Work Projects Administration. Ship Registers and Enrollments of New Bedford, Massachusetts. 4 vol. New Bedford, MA, 1940. Annotated copy located at the New Bedford Whaling Museum Research Library, New Bedford, MA.	2019-01-05		v. 1; v. 2; v. 3	https://hdl.handle.net/2027/mdp.39015073751979; https://hdl.handle.net/2027/mdp.39015073752126; https://hdl.handle.net/2027/mdp.39015073752274
AZ051	New Bedford Whaling Museum Research Library. Arctic Scrapbook 2	'In the Arctic.' New Bedford Whaling Museum Research Library, New Bedford, MA, Arctic Scrapbook 2, unidentified newspaper article, hand dated 4/23/91.	2021-08-31			
AZ052	Masters of the Deep	'Masters of the Deep.' The [New Bedford, MA] Evening Standard, April 20, 1906.	2021-08-31			
AZ053	The Whaling Fleets	'The Whaling Fleets.' The [New Bedford, MA] Evening Standard, hand dated 5/6/90, New Bedford Whaling Museum Research Library, New Bedford, MA. Arctic Scrapbook 2.	2021-08-31			
AZ054	Descendants of Whaling Masters. Membership booklet	Descendants of Whaling Masters. Tenth Anniversary, 1974-1984, [New Bedford, MA: Descendants of Whaling Masters, 1984]. Membership booklet.	2019-01-05			
AZ055	Reilly. Slavers in Disguise: American Whaling and the African Slave Trade	Reilly, Kevin S. 'Slavers in Disguise: American Whaling and the African Slave Trade.' American Neptune 53:4 (Summer, 1993).	2019-01-05			
AZ056	Descendants of Whaling Masters. My Dear Husband	Descendants of Whaling Masters. My Dear Husband. Taunton, MA: William L. Sullwold, Inc., 1980.	2019-01-05			
AZ057	Martin. Delaware Goes Whaling	Martin, Kenneth R. Delaware Goes Whaling: 1833-1845. Delaware: The Hagley Museum, 1974.	2019-01-05			
AZ058	Martin. Heavy Weather and Hard Luck	Martin, Kenneth R. 'Heavy Weather and Hard Luck': Portsmouth Goes Whaling. Pub. 24, Portsmouth, NH: Portsmouth Marine Society, 1998.	2019-01-05			
AZ059	Carmer. The Hudson	Carmer, Carl. The Hudson. New York and Toronto: Farrar & Rinehardt, 1939.	2019-01-05			
AZ060	Robert C. Eldred & Co. Auction Catalog	Auction Catalog. East Dennis, MA: Robert C. Eldred & Co., Inc., July 30, 1998.	2019-01-05			
AZ061	Bockstoce. Steam Whaling in the Western Arctic	Bockstoce, John R. Steam Whaling in the Western Arctic. New Bedford, MA: Old Dartmouth Historical Society, 1977.	2019-01-05			
AZ062	Bockstoce. Whales, Ice, and Men	Bockstoce, John R. Whales, Ice, and Men: The History of Whaling in the Western Arctic. First Edition. Seattle: University of Washington Press, 1986.	2019-01-05			
AZ063	Martin. Whalemen and Whaleships of Maine	Martin, Kenneth R. Whalemen and Whaleships of Maine. First Edition. Brunswick, ME: Harpswell Press, 1975.	2019-01-05			
AZ064	Whaling Masters	Works Progress Administration. Whaling Masters: Voyages 1731-1925. New Bedford, MA: Old Dartmouth Historical Society, 1938. Annotated copy owned by Dr. Stuart M. Frank.	2019-01-05			https://hdl.handle.net/2027/uc1.$b25850
AZ065	Decker. Whaling Industry of New London	Decker, Robert Owen. Whaling Industry of New London. York, PA: Liberty Cap Books, 1973.	2019-01-05			
AZ066	Customs House Records, Connecticut	Customs House Records for the Districts of New London, New Haven, Hartford-Middletown, and Bridgeport-Fairfield, Connecticut. G. W. Blunt White Library, Mystic Seaport Museum, Inc. Card file.	2019-01-05			
AZ067	Robert C. Eldred & Co. Auction Catalog	Auction Catalog. East Dennis, MA: Robert C. Eldred & Co., Inc., November 20 and 21, 1998.	2019-01-05			
AZ068	Barthelmess. Additions to Sherman	Barthelmess, Klaus. 'Additions to Sherman.' 1994. The Kendall Whaling Museum, Sharon, MA. Typewritten list.	2019-01-05			
AZ069	Barthelmess. Additions to Sherman	Barthelmess, Klaus. 'Additions to Sherman.' 1994. Kendall Collection, New Bedford Whaling Museum Research Library, New Bedford, MA. Typewritten list.	2019-01-05			
AZ070	Richards. Into the South Seas	Richards, Rhys. Into the South Seas: The Southern Whale Fishery Comes of Age on the Brazil Banks 1765-1812. Parameta, New Zealand: 1993.	2019-01-05			
AZ071	Wiggin. 'Maritime History of the North Fork of Eastern Long Island, NY	Wiggin, Merlon E. 'Maritime History of the North Fork of Eastern Long Island, NY.' The Peconic Bay [NY] Shopper, November 1998.	2019-01-05			
AZ072	Maritime Books. Catalogue 93	Maritime Books. Catalogue 93. Madison, WI: J. Tuttle, 1998.	2019-01-05			
AZ073	Lipton. Whaling Days in New Jersey	Lipton, Barbara. 'Whaling Days in New Jersey.' The Newark Museum Quarterly, 26:2, 3, (Spring/Summer 1975).	2019-01-05			
AZ074	Ricketson. The History of New Bedford	Ricketson, Daniel. The History of New Bedford. New Bedford, MA: by the author, 1858.	2019-01-05			https://archive.org/details/historyofnewbedf00rick
AZ075	Glennon, Beverly Morrison	Glennon, Beverly Morrison. Personal communication.	2019-01-05			
AZ076	Druett. She Was a Sister Sailor	Druett, Joan, ed. 'She Was a Sister Sailor' The Whaling Journals of Mary Brewster 1845-1851. Mystic, CT: Mystic Seaport Museum, Inc., 1992.	2019-01-05			
AZ077	Hellman, Robert	Hellman, Robert. Personal communication.	2019-01-05			
AZ078	Welt. Whaling in Poughkeepsie 1832-1843	Welt, Josephine. 'Whaling in Poughkeepsie 1832-1843.' Thesis, Vassar College, 1940.	2019-01-05			
AZ079	Coffin. The Coffin Family	Coffin, Louis, ed. The Coffin Family. Nantucket, MA: Nantucket Historical Association, 1962.	2019-01-05			
AZ080	Pease. Account Book	Pease, Noah. Account Book, Gale Huntington Research Library, Martha’s Vineyard Historical Society, 974.42 R-P 2. Information per Andrew Pierce.	2019-01-05			
AZ081	Osana Auctions. Auction Catalog	Auction Catalog. Nantucket, MA: Rafael Osona Auctions, Inc., August 13, 1994.	2021-08-31			
AZ082	Mitchell, Frederick	Mitchell, Frederick. Personal communication: privately owned logbooks and journals appraised by him.	2019-01-05			
AZ083	Lowenstein, Betsy	Lowenstein, Betsy. Library Director, Nantucket Historical Association. Personal communication.	2019-01-05			
AZ084	Martinez, Jennifer L.	Martinez, Jennifer L. Curator, Western Historical Manuscripts, The Huntington Library, Art Collections, and Botanical Gardens, San Marino, California. Personal communication.	2019-01-05			
AZ085	Tripp, Lincoln	Tripp, Lincoln. Curator, Westport Historical Society, Westport, MA. Personal communication.	2019-01-05			
AZ086	Hedges. A History of the Town of East-Hampton, New York	Hedges, Henry P. A History of the Town of East-Hampton, New York. Sag Harbor, NY: J. H. Hunt, 1897.	2019-01-05			https://hdl.handle.net/2027/njp.32101032432534
AZ087	Smart, Martha H.	Smart, Martha H. Reference Assistant, Connecticut Historical Society, Hartford, CT. Personal communication.	2019-01-05			
AZ088	Sherry, Margaret M.	Sherry, Margaret M. Reference Librarian/Archivist, Rare Books and Special Collections, Princeton University Library. Personal communication.	2019-01-05			
AZ089	Bradbury. History of the City of Hudson, New York	Bradbury, Anna R. History of the City of Hudson, New York. Hudson, NY: Record Printing and Publishing Co., 1908.	2019-01-05			https://archive.org/details/historyofcityofh00brad
AZ090	Ellis. History of Columbia County, New York	Ellis, Franklin. History of Columbia County, New York. Philadelphia: Everts & Ensign, 1878.	2019-01-05			https://archive.org/details/historyofcolumbi00ever
AZ091	Tolpa, Jennifer	Tolpa, Jennifer. Reference Librarian, Massachusetts Historical Society, Boston, MA. Personal communication.	2019-01-05			
AZ092	Kooiman, William	Kooiman, William. Library Technician, J. Porter Shaw Library, San Francisco Maritime National Historical Park, San Francisco, CA. Personal communication.	2019-01-05			
AZ093	Motes, Marge	Motes, Marge. Board Member, Historical Society of Old Newbury, Cushing House Museum, Newburyport, MA. Personal communication.	2019-01-05			
AZ094	Flannery, Jeffrey M.	Flannery, Jeffrey M. Manuscript Reference Librarian, The Library of Congress, Washington, DC. Personal communication.	2019-01-05			
AZ095	Phillips. Ship Registers of the District of Newburyport, Massachusetts	Phillips, Stephen Willard, ed. Ship Registers of the District of Newburyport, Massachusetts, 1789-1870. Salem, MA: The Essex Institute, 1937.	2019-01-05			
AZ096	Forster. The South Sea Whaler	Forster, Honore. The South Sea Whaler. First Edition. Sharon, MA: The Kendall Whaling Museum, 1985.	2019-01-05			
AZ097	Weimerskirch, Philip J.	Weimerskirch, Philip J. Special Collections Librarian, Providence Public Library, Providence, RI. Personal communication.	2019-01-05			
AZ098	The Whaling Company of East Greenwich [RI]. Manuscripts Collection	The Whaling Company of East Greenwich [RI]. Manuscripts Collection, Rhode Island Historical Society Library, Providence, RI. Mss 155.	2019-01-05			
AZ099	Finckenor. Whales and Whaling, Port of Sag Harbor, New York	Finckenor, George A. Whales and Whaling, Port of Sag Harbor, New York. Sag Harbor, NY: William Ewers, Printers, 1975.	2019-01-05			
AZ100	Weiss. Whaling in New Jersey	Weiss, Harry B. with Howard R. Kemble and Millicent T. Clarke. Whaling in New Jersey. Trenton, NJ: New Jersey Agricultural Society, 1974.	2019-01-05			
AZ101	Ship Registers and Enrollments of Boston and Charlestown	Works Progress Administration. Ship Registers and Enrollments of Boston and Charlestown. vol. 1 1789-1795, Boston: National Archives Project, 1942.	2019-01-05			https://hdl.handle.net/2027/mdp.39015012360403
AZ102	Hitchings. Ship Registers of the District of Salem and Beverly, Massachusetts	Hitchings, Frank E. with annotations by Stephen Willard Phillips. Ship Registers of the District of Salem and Beverly, Massachusetts 1789-1900. Salem, MA: The Essex Institute, 1906.	2019-01-05			https://hdl.handle.net/2027/hvd.hn67yi
AZ103	Ship Registers of the District of Gloucester, Massachusetts	Ship Registers of the District of Gloucester, Massachusetts 1789-1875. With an introduction by Stephen Willard Phillips. Salem, MA: The Essex Institute, 1944.	2021-08-31		1937 edition	https://hdl.handle.net/2027/mdp.39015020914993
AZ104	Owens, James	Owens, James. Archivist, National Archives and Records Administration, Northeast Region, Waltham, MA. Personal communication.	2019-01-05			
AZ105	Connolly. Whale Industry in New Jersey	Connolly, Hon. James C. 'Whale Industry in New Jersey.' Proceedings of the New Jersey Historical Society, 3 (1928).	2019-01-05			
AZ106	Neafie. Captain Peter Nafey and his Whaleboat Crew in the Revolution	Neafie, John. 'Captain Peter Nafey and his Whaleboat Crew in the Revolution.' Proceedings of the New Jersey Historical Society, 3 (1928).	2019-01-05			
AZ107	Catalogue of Nantucket Whalers and their Voyages from 1815 to 1870	Catalogue of Nantucket Whalers and their Voyages from 1815 to 1870. Nantucket, MA: Hussey & Robinson, 1879.	2019-01-05			https://hdl.handle.net/2027/hvd.hwxjik
AZ108	Boyer. Vital Records of Southeastern Massachusetts	Boyer, Dorothy Marvelle, ed. Vital Records of Southeastern Massachusetts, vol. 4, Fairhaven to 1865. Clearwater, FL: Owl Books, 1986.	2019-01-05			
AZ109	Baer. Descendants of Captain James Shaw West	Baer, Chris. 'Descendants of Captain James Shaw West.' www.vineyard.net/vineyard/history/jeruel3x.htm. Internet.	2019-01-05			
AZ110	Andrew and Thompson. Index to Laflin Lists	Andrew, Lillian and Elizabeth Thompson. Index to Laflin Lists at the Old Dartmouth Historical Society 1885-1908. New Bedford Whaling Museum Research Library, New Bedford, MA, 1999. Card file.	2019-01-05			
AZ111	Downey, Judith M.	Downey, Judith M. Librarian, New Bedford Whaling Museum Research Library, New Bedford, MA. Personal communication.	2019-01-05			
AZ112	Logbooks and Journals privately owned	Logbooks and Journals privately owned, on loan. New Bedford Whaling Museum Research Library, New Bedford, MA.	2019-01-05			
AZ113	Logbooks and Journals owned by the Mattapoisett Historical Society	Logbooks and Journals owned by the Mattapoisett Historical Society, currently located at the New Bedford Whaling Museum Research Library, New Bedford, MA. These logbooks have been returned to Mattapoisett as of 2009.	2019-01-05			
AZ114	Carver, Joan L.	Carver, Joan L. Personal communication.	2019-01-05			
AZ115	Frank. More Scrimshaw Artists	Frank, Stuart M. More Scrimshaw Artists: A Sequel and Supplement to the Dictionary of Scrimshaw Artists. Mystic, CT: Mystic Seaport Museum, Inc., 1998.	2019-01-05			
AZ116	Adams. Whaling Vessels... A Concordance	Adams, Thomas R. 'Whaling Vessels Their Voyages and their Log Books, Journals and Abstracts &c. A Concordance.' Providence, RI, 1994. Draft copy.	2019-01-05			
AZ117	Whaling Masters	Works Progress Administration. Whaling Masters: Voyages 1731-1925. New Bedford, MA: Old Dartmouth Historical Society, 1938. Annotated copy located at Edouard A. Stackpole Research Center, Nantucket Historical Association, Nantucket, MA.	2019-01-05			https://hdl.handle.net/2027/uc1.$b25850
AZ118	Certificates of Registry issued at Nantucket, Massachusetts	Bureau of Customs. Certificates of Registry issued at Nantucket, Massachusetts. Edward A. Stackpole Research Center, Nantucket Historical Association, Nantucket, MA. Microfilm prints.	2019-01-05			
AZ119	Hellman, Robert	Hellman, Robert. Personal communication.	2019-01-05			
AZ120	Transfer of Lays, Ship Favorite, voyage of 1804-1807	Transfer of Lays, Ship Favorite, voyage of 1804-1807. Edouard A. Stackpole Research Center, Nantucket Historical Association, Nantucket, MA. Collection 177, Folder 5.	2019-01-05			
AZ121	Shipping paper. Ship Harlequin, voyage of 1807-1809	Shipping paper. Ship Harlequin, voyage of 1807-1809. Edouard A. Stackpole Research Center, Nantucket Historical Association, Nantucket, MA. Collection 177, Folder 14.	2019-01-05			
AZ122	Nantucket Historical Association. Manuscripts Collections Computer File	Manuscripts Collections Computer File. Edouard A. Stackpole Research Center, Nantucket Historical Association, Nantucket, MA.	2019-01-05			
AZ123	Whaling Captains from Nantucket	'Whaling Captains from Nantucket.' Edouard A. Stackpole Research Center, Nantucket Historical Association, Nantucket, MA Collection 335, folder 976. Manuscript book.	2021-08-31			
AZ124	Worth. Ancient Masters of Whaleships	Worth, George F. 'Ancient Masters of Whaleships, copied from the Nantucket Inquirer and Mirror.' Volume 18, Worth Family Papers, Edouard A. Stackpole Research Center, Nantucket Historical Association, Nantucket, MA.	2019-01-05			
AZ125	Fonda. Eighteenth Century Nantucket Whaling	Fonda, Douglass C., Jr. Eighteenth Century Nantucket Whaling. Nantucket, MA: by the author, 1969.	2019-01-05			
AZ126	Philbrick. Abram's Eyes	Philbrick, Nathaniel. Abram's Eyes: The Native American Legacy of Nantucket Island. Nantucket, MA: Mill Hill Press, 1998.	2019-01-05			
AZ127	Peterson, William N.	Peterson, William N. Senior Curator, Mystic Seaport, Mystic, CT. Personal communication.	2019-01-05			
AZ128	Palmer. The Whaling Port of Sag Harbor	Palmer, William R. 'The Whaling Port of Sag Harbor.' Ph.D. diss., Columbia University, University Microfilms, 1959.	2019-01-05			
AZ129	Banks. The History of Martha's Vineyard	Banks, Charles Edward, M.D. The History of Martha's Vineyard. Edgartown, MA: Dukes County Historical Society, 1966.	2019-01-05			https://hdl.handle.net/2027/yale.39002001112078
AZ130	Theriault. Provincetown Whaling Vessels	Theriault, James. 'Provincetown Whaling Vessels.' 1993 Provincetown File, New Bedford Whaling Museum Research Library, New Bedford, MA. Typewritten list.	2019-01-05			
AZ131	Hohman. The American Whaleman	Hohman, Elmo Paul. The American Whaleman. London: Macdonald and Jane's, reprinted 1974.	2021-08-31		Original publication	https://archive.org/details/americanwhaleman00hohm
AZ132	Ferguson. And God Created Great Whales	Ferguson, Georgia Knowles Cook. And God Created Great Whales. n.p. 1976.	2019-01-05			
AZ133	Vorse. Time and the Town	Vorse, Mary Heaton. Time and the Town: A Provincetown Chronicle. New York: The Dial Press, 1942.	2019-01-05			
AZ134	Smith. The Provincetown Book	Smith, Nancy W. Paine. The Provincetown Book. Brockton, MA: Tolman Print, Inc., 1922.	2019-01-05			https://archive.org/details/provincetownbook00smit
AZ135	Jennings. Provincetown or Odds and Ends from the Tip End	Jennings, Herman A. Provincetown or Odds and Ends from the Tip End. Yarmouthport, MA: Fred Hallett, Job Printer, 1890.	2019-01-05			https://archive.org/details/provincetownorod00jennrich
AZ136	Maritime Books. Catalogue 96	Maritime Books. Catalogue 96. Madison, WI: J. Tuttle, 1999.	2019-01-05			
AZ137	Sleight. The Whale Fishery on Long Island	Sleight, Harry D. The Whale Fishery on Long Island. Bridgehampton, NY: The Hampton Press, 1931.	2019-01-05			
AZ138	Sherman. The Voice of the Whaleman	Sherman, Stuart C. The Voice of the Whaleman. Providence, RI: Providence Public Library, 1965.	2019-01-05			
AZ139	Sylvia. Turning 2000	Sylvia, Michael J. 'Turning 2000: Countdown to the Millennium.' The [New Bedford, MA] Standard-Times. New Bedford, MA, June 2, 1999.	2019-01-05			
AZ140	Ten Pound Island Book Company. Catalog 121	Catalog 121. Gloucester, MA: Ten Pound Island Book Company, 1999.	2019-01-05			
AZ141	Cook. Pursuing the Whale	Cook, John Atkins. Pursuing the Whale. Boston: Houghton Mifflin Co., 1926.	2019-01-05			https://hdl.handle.net/2027/mdp.39015048991601
AZ142	Deyo. History of Barnstable County, Massachusetts	Deyo, Simeon L. History of Barnstable County, Massachusetts. New York: H. W. Blake & Co., 1890.	2019-01-05			https://archive.org/details/historyofbarnsta1890deyo
AZ143	Peabody Essex Museum Library. Manuscripts Index	Manuscripts Index. Library Reading Room, Peabody Essex Museum Library, Salem, MA. Card File.	2019-01-05			
AZ144	Shephard, Diane	Shephard, Diane. Archivist/Librarian, Lynn Museum, Lynn, MA. Personal communication.	2019-01-05			
AZ145	Abstract of American Vessels cleared from the District of Plymouth	Bureau of Customs. Abstract of American Vessels cleared from the District of Plymouth. RG 36. National Archives and Records Administration, Northeast Region, Waltham, MA.	2019-01-05			
